,author1,author2,author3,author4,title,conference,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,author5,author6,journal/book,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,author7,author8,keyword13,keyword14,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37,author38,author39,author40,author41,author42,author43,author44,author45,author46,author47,author48,author49
Row_311,"Wu, Dongshao","Cao, Min","Gao, Wei","Cheng, Guowei",Spatial-temporal source apportionment of nitrogen and phosphorus in a high-flow variable river,,JUN 2024,0,"Study region: Mihe River Basin, China. Study focus: The composite interaction of natural and anthropogenic factors has increased the complexity of hydrological variation and pollutant transformation in rivers, making it challenging to effectively analyze the spatial and temporal distribution characteristics of pollution sources. We combined two empirical models to quantitatively assess the spatial-temporal distribution of pollution sources in a high-flow variable river such as the Mihe River, providing a scientific basis and methodological support for watershed management. New regional hydrological insights: The findings show that: (1) The average nitrogen and phosphorus loading of the river during 2015-2021 were 13.08 x 103 and 38.03 t & sdot;& aacute;1, respectively, exhibiting significant fluctuations with flow; (2) a load apportionment model (LAM) revealed that nonpoint sources were primary pollution sources for most of the period, and average contributions of nitrogen and phosphorus loading accounted for 81.7 and 99.6%, respectively; (3) an export coefficient model (ECM) revealed that nutrient loading was concentrated in the middle and lower reaches, which was highly consistent with the distribution of cropland and urban land. (4) The results of the two methods were consistent. However, LAM and ECM underestimate and overestimate total nutrient loading, respectively. Combining these two methods facilitates the accurate determine of spatial and temporal distribution of pollution sources in a high-flow variable river.",River,Nutrient flux,Source apportionment,Load apportionment model,"Duan, Zhongzhao","Hou, Xikang",JOURNAL OF HYDROLOGY-REGIONAL STUDIES,Export coefficient model,Spatial-temporal distribution,,,,,,,"Zhang, Yuan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_312,"Zhang, Zhongqian","Liu, Yaqun","Sheng, Shuangqing","Liu, Xu","Evolving Urban Expansion Patterns and Multi-Scenario Simulation Analysis from a Composite Perspective of ""Social-Economic-Ecological"": A Case Study of the Hilly and Gully Regions of Northern Loess Plateau in Shaanxi Province",,APR 2024,1,"Over recent decades, the hilly and gully regions of the northern Loess Plateau in Shaanxi province have grappled with severe soil erosion and a precarious ecological milieu. Shaped by urbanization policies, this locale has encountered a gamut of issues, including an imbalance in human-environment dynamics and the degradation of ecological integrity. Consequently, the comprehension of how urban expansion impacts the optimization of regional landscape configurations, the alignment of human-environment interactions in the Loess Plateau's hilly and gully domains, and the mitigation of urban ecological challenges assumes paramount importance. Leveraging data from land use remote sensing monitoring, alongside inputs from natural geography and socio-economic spheres, and employing methodologies such as landscape pattern indices, we conduct an exhaustive analysis of Zichang City's urban fabric from 1980 to 2020. Furthermore, employing the CLUE-S model, we undertake multifaceted scenario simulations to forecast urban expansion in Zichang City through to 2035. Our findings delineate two distinct phases in Zichang City's urban expansion trajectory over the past four decades. From 1980 to 2000, urban construction land in Zichang City experienced a phase of methodical and steady growth, augmenting by 64.98 hectares, alongside a marginal decrease in the landscape shape index (LSI) by 0.02 and a commensurate increase in the aggregation index (AI) by 1.17. Conversely, from 2000 to 2020, urban construction land in Zichang City witnessed an epoch of rapid and haphazard expansion, doubling in expanse, marked by a notable escalation in LSI (2.45) and a corresponding descent in the AI (2.85). The precision of CLUE-S model simulations for Zichang City's land use alterations registers at 0.88, fulfilling the exigent demand for further urban expansion and land use change prognostication. Under the aegis of the natural development scenario, the augmentation of urban construction land in Zichang City primarily encroaches upon grassland, farmland, and woodland, effectuating an increase of 159.81 hectares. Conversely, under the ambit of urbanization development, urban construction land contends predominantly with farmland, grassland, and woodland, heralding an augmentation of 520.42 hectares. Lastly, under the mantle of ecological protection, urban construction land expansion predominantly encroaches upon grassland, farmland, and woodland, resulting in an augmentation of 4.27 hectares. Through a nuanced analysis of the spatiotemporal evolution of urban expansion and scenario-based simulations, this study endeavors to furnish multi-faceted, scenario-driven, and policy-centric insights for regional planning, urban spatial delineation, and regional ecological safeguarding.",urban expansion,multi-scenario simulation,CLUE-S model,hilly and gully region of Loess Plateau,"Xue, Qiuli",,SUSTAINABILITY,Zichang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_313,"Zhang, Yuan","Chen, Xiao-Jian","Gao, Song","Gong, Yongxi",Integrating smart card records and dockless bike-sharing data to understand the effect of the built environment on cycling as a feeder mode for metro trips,,DEC 2024,0,"Urban transportation and planning are at a pivotal juncture, requiring a nuanced understanding of the built environment's impact on dockless bike sharing (DBS) to metro transfer trips. Existing methodologies, often focused on DBS trips around metro stations or limited by scant datasets, overlook the pressing need for a method to discern large-scale DBS-metro trips as DBS becomes a standard feeder mode for metro trips and the yet unexplored spatial lag effects of the built environment on DBS-metro interactions. To bridge these gaps, we develop a method integrating smart card records and DBS data, revealing a comprehensive trip chain encompassing both metro and DBS. Our application of association rule algorithms to large-scale data provides detailed spatial insights into feeder trips. We employ a network-adjacency-based partial spatial Durbin model, tailored with a negative binomial regression for count data and maximum likelihood estimation for continuous data. Analysis from Shenzhen reveals: (1) A strong correlation is observed between the count of trips using cycling as a feeder mode (COUNT) and the location of stations within the metro network structure. Notably, the COUNT shows more significant aggregation when compared to the ratio of DBS-metro transfer trips to the total metro trips at each station (RATIO); (2) significant influence of both local and adjacent spatial variables of the built environment on the RATIO and COUNT of cycling trips; (3) specific factors like feeder station location, city center proximity, Street greenness view situation, and road intersection density significantly influencing the cycling feeder mode for metro trips; (4) Moreover, areas with more urban villages and industry appeared to contribute to the cycling feeder mode for metro trips, both in terms of RATIO and COUNT. This study underscores the necessity of fostering a conducive built environment to leverage DBS's potential to bridge the last-mile gap.",DBS-metro transfer trip,Cycling feeder mode,Data fusion methodology,Spatial Durbin model,"Liu, Yu",,JOURNAL OF TRANSPORT GEOGRAPHY,Built environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_314,"Ji, Lili","Shu, Chang","Gaur, Abhishek","Wang, Lin",A state-of-the-art review of studies on urban green infrastructure for thermal resilient communities,,JUN 1 2024,6,"Urban Green Infrastructure (UGI) plays a critical role in creating Thermal Resilient Communities (TRCs) by mitigating the adverse climate change impacts and enhancing thermal resilience. In this paper, we consider a range of UGI types, from street trees, urban parks, green spaces, and building-integrated UGI components, such as green roofs and green walls. It is intended that the thermal/aerodynamic effects of UGI be analyzed and the influence of UGI at three spatial scales within urban communities be provided; more specifically: microclimate scale, building scale, and individual scale. The study discusses the findings of 218 papers published since 2010 to elaborate on recent progress in this field. This review delves into three fundamental aspects related to UGI: a) the underlying mechanisms allowing UGI to affect the environment and human health, b) the modeling efforts undertaken to simulate these effects, and c) measurement studies providing empirical data and verifying the models. Additionally, the effects of UGI across the three scales and related aspects are discussed, and the importance of integrative mechanisms and coupled modeling approaches is emphasized. Key methodologies for integrating microclimate and building simulations are summarized, highlighting the data exchange protocols and software tools. In contrast to previous reviews, this study has analyzed major measurement studies, categorizing them into full-scale and sub-scale studies. As a conclusion, several potential directions for future research are identified, including advanced physical and data driven UGI models, enhanced coupled simulations for indooroutdoor interactions, establishment of measurement datasets for benchmarking both UGI modeling and coupled simulations.",Thermal Resilient community (TRC),Urban green infrastructure (UGI),Microclimate,Building performance,"Lacasse, Michael",,BUILDING AND ENVIRONMENT,Heat -related health,Coupled simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_315,"Yang, Wei","Fei, Jun","Li, Yingpeng","Chen, Hong",Unraveling nonlinear and interaction effects of multilevel built environment features on outdoor jogging with explainable machine learning,,APR 2024,11,"Built environment (BE) is widely perceived as crucial in promoting physical activities (PA). However, the nonlinear and interaction relationships between multilevel (macroscale and microscale) BE and outdoor jogging are poorly explained. Therefore, this work established an explainable machine learning-based analytical framework that integrating Gradient Boosting Decision Tree and SHapley Additive exPlanations to interpret the nonlinear and interaction effects. Employing Beijing, China as the case, this study conducted an empirical analysis of multilevel BE factors affecting outdoor jogging utilizing multi -source big data, including large-scale jogging GPS trajectories and street view images. Results revealed that: (1) Macroscale BE including sports amenities and accessibility play an important role in affecting jogging. (2) All BE factors have nonlinear association with jogging, and the effective range and threshold effects vary by variables. Notably, several variables associated with jogging are in inverted U or V shapes. (3) The complex interaction effects including synergistic, weakened, among BE factors were scrutinized. BE factors regarding accessibility and sports amenity interact more easily. (4) Regions with similar local effects were clustered to understand the spatial varying of BE's influences and establish targeted interventions. These findings can help urban planners design more nuanced intervention strategies for supporting outdoor jogging.",Outdoor jogging activity,Built environment,Explainable machine learning,Nonlinear association,"Liu, Yong",,CITIES,Interaction effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_316,"Hong, Yayao","Zhu, Hang","Shou, Tieqi","Wang, Zeyu",STORM: A Spatio-Temporal Context-Aware Model for Predicting Event-Triggered Abnormal Crowd Traffic,,OCT 2024,0,"Urban events, such as hurricanes, floods, and epidemic outbreaks, usually have a significant impact on crowd behaviors that may dramatically change people's mobility patterns, interaction manners, and etc. Accurately foreseeing the abnormal crowd behaviors triggered by urban events can help authorities to dynamically schedule urban resources and services, such as providing shuttle buses, temporal shelters, and psychological first aid. However, traditional crowd behavior prediction models tend to learn regular trends and patterns of crowd traffic, and usually fail to predict the abnormal traffic fluctuations triggered by urban events. In this work, we propose a context-aware framework to accurately predict event-triggered abnormal crowd traffic by explicitly modeling event contexts and their impact. We start by training a state-of-the-art spatiotemporal multi-graph model (MG) leveraging a multi-graph convolutional network (MGCN) to model city-wide venues and their connections, as well as gated recurrent unit (GRU) to capture the crowd traffic patterns within venues. In order to model the time-occasional impact of sudden influential event context (e.g., weather conditions), we propose a multi-task fusion diagram to co-train the MG model by learning a temporal impact embedding with an attention mechanism and recurrent neural network to obtain the MG-MT model. In order to model the hyper-space impact of irregularly distributed event context (e.g., epicenters and trajectories), we propose a multi-view fusion diagram to fine-tune the above-mentioned model by learning a spatial impact graph with a stimulus-response mechanism to obtain the spatiotemporal crowd traffic model (STORM). Experiments using real-world urban data collected from Xiamen, China show that our approach improves over the state-of-the-art baseline by more than 6% in predicting crowd traffic and by more than 40% in the abnormal crowd traffic part.",Crowd-behavior prediction,spatiotemporal data,urban computing,,"Chen, Liyue","Wang, Leye",IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,,,,,,,,,"Wang, Cheng","Chen, Longbiao",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_317,"Wang, Jingyi","Wang, Zhen","Li, Chunming","Yao, Ziyan","An exploratory framework for mapping, mechanism, and management of urban soundscape quality: From quietness to naturalness",,MAY 2024,0,"Background: Despite growing attention from researchers and governments, challenges persist in comprehensively assessing urban sound quality by integrating both quietness and naturalness aspects. Goals: This study aimed to develop an innovative soundscape quality index that concurrently evaluates quietness and naturalness in urban soundscapes. Our objectives included conducting urban soundscape quality mapping, analyzing influential mechanisms, and identifying priority zones for sound environment management. Approaches: We collected sound pressure level (SPL) and raw audio data, from which we computed a normalized difference soundscape index (NDSI). With a dataset comprising 28 explanatory variables encompassing land use, built environment, vegetation characteristics, and temporal factors, we employed the random forest (RF) model to predict 10 indicators, including eight SPL-related indices, NDSI, and the QNS (quietness and naturalness soundscape) index. Crucially, we utilized SHAP (SHapley Additive exPlanations) values to interpret the RF model. Findings: Spatial variations in quietness and naturalness were evident, closely associated with road networks and vegetation, respectively, with discernible temporal variations. The top three variables influencing QNS were distance to major roads, normalized difference vegetation index (NDVI), and proportion of tree coverage. Moreover, interaction effects highlighted dual negative or synergistic promoting effects on QNS from factors such as road width, human disturbance, vegetation configurations, and land cover. Notably, these mechanisms were successfully applied to six typical tourist attractions in Xiamen city, where five types of management zones were mapped based on priority considerations of population density and soundscape quality. Interestingly, natural soundscape reserves were highly correlated with city parks, high-risk zones predominantly overlapped with road networks, and potential zones comprised inner communities between streets. Significance: The framework demonstrated effectiveness in mapping, exploring mechanisms, and guiding management strategies for the urban sound environment.",Sound environment quality,Urban sound environment prediction,Sound map,Sound environment management,"Cui, Shenghui","Huang, Quanjia",ENVIRONMENT INTERNATIONAL,Random forest,Public health,,,,,,,"Liu, Yin","Wang, Tingting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_318,"Mortazavi, Seyede Sara","Andalib, Alireza","Ahmadian, Reza","Talachian, Morteza",Recognition of Functionality of Ritual-Centric Axis as a Driver for Culture-Based Urban Regeneration (A Case Study of the Zeynabieh and Hosseinieh Azam to Imamzadeh Seyed Ebrahim Axis in Zanjan City),,NOV 2024,0,"Problem statement: In the strategies for culture-based urban regeneration, the cultural-social and economic impacts of activities and events, as well as the physical-spatial characteristics of the host spaces, are of great importance. Ritual-hosting spaces encompass a range of environments that must possess specific physical, cultural, social, economic, and managerial attributes. Urban regeneration through ritual functionalities can challenge the conditions of spaces, facilitating the formation of social space, fostering solidarity, enhancing the sense of place, and increasing citizen participation. Zanjan city is renowned for its ritual functions, especially during the religious and national ceremonies in the month of Muharram. Therefore, it is expected that the spaces manifesting these religious ceremonies align with their ritual functions and that the deterioration, decay, and decline of these ritual axes would significantly impact the quantity and quality of solidarity, sense of belonging, identity, and more. Research objective: This study aims to identify the role of ritual-centric axes as drivers of regeneration Research method: The study employs explanatory methods based on novel future study techniques. The factors were evaluated by 30 urban planning experts using environmental scanning and cross-impact/structural analysis. The specialized future studies' software, MICMAC, was used to identify the functionality of the ritual axis as a driver for urban regeneration. Conclusion: The results indicate that the dispersion of the influential variables suggests system instability. Out of 29 factors analyzed, 10 key factors were identified as critical influencers on the ritual-centric axis, consistently appearing in both direct and indirect methods. These key factors-alignment with historical context, sense of place, dynamism and sustainability, physical continuity, mental role creation, environmental signification, organization derived from religion and culture, physical-social continuity, significantly improve the quality of interactions and solidarity among individuals with the environment.",Urban Regeneration,Driver,Ritual-Centric Functionality,Culture-Based,,,BAGH-E NAZAR,Zanjan City.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_319,"Wei, Shimei","Pan, Jinghu",,,Spatiotemporal characteristics of residents' intercity travel in China under the impact of COVID-19 pandemic,,SEP 2024,0,"Investigating the spatiotemporal characteristics of residents' intercity travel affected by the coronavirus disease (COVID-19) pandemic is of great significance to understanding and extending the impact of major public health affairs on intercity travelers, urban management policies, and intercity cooperative interactions. Taking 366 cities in China as an example, this study proposed a novel research framework for analyzing the spatiotemporal characteristics of intercity population flows. Using AutoNavi population migration big data sets from web crawling, the spatiotemporal structure patterns of intercity travel in China from January 1st to June 30th, 2020 were extracted by using the singular value decomposition (SVD) method. Then the spatial organization patterns of intercity travel networks in China and its five major urban agglomerations were identified by the weighted stochastic block model (WSBM). The results showed that the total volume of intercity travel in China and its five major urban agglomerations experienced a process of rapid decline followed by a slow recovery, presenting a ""Vshaped"" distribution since the outbreak of the COVID-19 pandemic. Three distinctive intercity travel patterns, namely the stable, holiday, and weekday-weekend intercity trip patterns, were extracted from the spatiotemporal OD matrix of intercity travel. Strong intercity travels were mainly distributed in eastern and central China, forming an intercity travel pattern in which core cities pushed and pulled each other within the national urban agglomerations. However, intercity migration flows were dominated by weak-intensity flows. Intercity trips during the holidays had a phenomenon of ""escaping from the metropolis"". Meanwhile, it had significant spatial proximity and directionality. The daily intercity trips were characterized by a remarkable periodicity with seven days as a repeat. A more interesting finding is that when weekends overlap with holidays, intercity travel on the 1-2 days before the vacations has presented an effect of ""suppression travel"". Furthermore, at the national scale, the stable intercity travel network has formed a polycentric core-periphery structure of ""Three Cores-Six Semiperipheries-Five Peripheries"". At the urban agglomeration scale, they formed respectively distinguished monocentric, bicentric, and polycentric core-periphery structures.",Intercity travel,Spatiotemporal pattern,Singular value decomposition (SVD),Weighted stochastic block model (WSBM),,,CITIES,COVID-19,AutoNavi migration index (AMI),China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_320,"Su, Dan","Cao, Yu","Fang, Xiaoqian","Wang, Jiayi","Regional integration, agricultural production, and their heterogeneous interaction in the classic urban agglomeration of China",,JUL 20 2024,2,"Regional integration, a global trend covering multiple aspects of cities that constitute an urban agglomeration, is poised to reallocate limited resources and reshape regional production pattern. While its effects on urban economic efficiency and environmental emissions have been investigated, the agricultural system, which plays a pivotal role in ensuring food security, remains an underexplored domain. To address this, this study commences by discussing the possible influence of regional integration on agricultural production drawing from literature and practical evidence. Then the regional integration level of the Yangtze River Delta Urban Agglomeration (YRDUA) from 2005 to 2019 was evaluated, which is a facet that has received limited quantitative scrutiny hitherto. Subsequently, the agricultural production efficiency (APE) that integrates the composite inputs and outputs information was analyzed to assess the utility of rural production. The interconnection between these two systems was then explored by panel Tobit Model. The findings reveal that (1) regional integration in the YRDUA has exhibited fluctuation across different developmental stages and is presently converging toward a state of stability. (2) The APE appears better performance characterized by weakened spatial heterogeneity and long-term growth. (3) The APE presents an increase in response to the improved integration levels within the gradients, and the model results suggest a positive relationship between them. The discovery of this study implied the potential of macro-regulation promoted through regional integration to enhance APE, underscoring its dual welfares, impacting not only urban development but also extending its spilled-beneficial effects to rural overall production. It provides insights to help find solutions to food security and regional equilibrium under the worldwide tendency of regional integration.",Agricultural production efficiency,Regional integration,Food security,Regional heterogeneity,"Cao, Yu",,JOURNAL OF CLEANER PRODUCTION,Yangtze river delta urban agglomeration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
