,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37,author38,author39,author40,author41,author42,author43,author44,author45,author46,author47,author48,author49,author50,author51,author52,author53,author54,author55,author56,author57,author58,author59,author60,author61,author62,author63,author64,author65,author66,author67,author68,author69,author70,author71,keyword6,conference,keyword7,keyword8,keyword9,keyword10
Row_61,"Darlix, Amelie","Zouaoui, Sonia","Virion, Jean-Marc","Rigau, Valerie","Mathieu-Daude, Helene","Blonski, Marie","Reyes-Botero, German","Bessaoud, Faiza","Tretarre, Brigitte","Bauchet, Fabienne","Capelle, Laurent","Fabbro, Michel","Kerr, Christine","Figarella-Branger, Dominique","Duffau, Hugues","Taillandier, Luc","Bauchet, Luc",Significant heterogeneity in the geographical distribution of diffuse grade II/III gliomas in France,JOURNAL OF NEURO-ONCOLOGY,DEC 2014,6,"Diffuse WHO grade II and III gliomas (DGII/IIIG) are rare tumors, with few specific epidemiological studies. We aimed at describing the geographical distribution of a homogeneous series of histologically confirmed DGII/IIIG, over a four-year period (2006-2009), at a national level. The methodology is based on a multidisciplinary national network already established by the French Brain Tumor DataBase and data collected directly from every neuropathology department. Personal home addresses were collected for confirmed cases. For each region, the incidence of DGII/IIIG was analyzed and standardized on the age and sex distribution of the French population. The number of patients with newly diagnosed, histologically confirmed DGII/IIIG was 4,790. The overall crude rate was 19.4/10(6). To enable international comparisons, standardized rates were calculated as follows: 19.8/10(6), 18.8/10(6) and 16.0/10(6) (reference population, Europe, US and world, respectively). The geographical distribution by region showed significant differences, with higher incidence rates in Northeast and central parts of France. This work is the first studying the geographical distribution of a pure series of DGII/IIIG at a national level. It demonstrates significant heterogeneity in the distribution, and raises the question of the role of environmental and/or genetic risk(s) factor(s) for DGII/IIIG.",Brain tumor,Neurooncology,Glioma,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_62,"Sun, Xiao-xiao","Yu, Qiang",,,,,,,,,,,,,,,,Intra-tumor heterogeneity of cancer cells and its implications for cancer treatment,ACTA PHARMACOLOGICA SINICA,OCT 2015,177,"Recent studies have revealed extensive genetic and non-genetic variation across different geographical regions of a tumor or throughout different stages of tumor progression, which is referred to as intra-tumor heterogeneity. Several causes contribute to this phenomenon, including genomic instability, epigenetic alteration, plastic gene expression, signal transduction, and microenvironmental differences. These variables may affect key signaling pathways that regulate cancer cell growth, drive phenotypic diversity, and pose challenges to cancer treatment. Understanding the mechanisms underlying this heterogeneity will support the development of effective therapeutic strategies.",cancer cells,intra-tumor heterogeneity,genetic heterogeneity,signal transduction,cancer therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_63,"Zhou, Xia","Yu, Yu","Yang, Fan","Shi, Qinfen",,,,,,,,,,,,,,Spatial-temporal heterogeneity of green innovation in China,JOURNAL OF CLEANER PRODUCTION,FEB 1 2021,68,"The whole world is facing the urgent issue of balancing economic development and ecological conservation. The fulfillment of the solution requires green innovation at the regional level. However, the heterogeneity of green innovation is obvious in different regions. To explore ways at effectively improving the level of regional green innovation in China, the research develops decomposition analysis based on the Logarithmic Mean Divisia Index (LMDI) model to identify the driving factors of green innovation. We also take the Geographical and Temporal Weighted Regression (GTWR) model to explore the driving factors of spatial-temporal heterogeneity of green innovation in China. The main results are as follows. Research and development (R&D) efficiency play a dominant role for increasing regional green patent applications, while environmental regulation contributes the most to a decline of regional green patent applications during 2003-2017. Various determinants of green patent applications exhibit spatial-temporal heterogeneity, such as the coefficients of influencing factors for each province in 2017 being more significant than the same coefficients in 2003. Beijing's coefficient of R&D efficiency is the largest, while the coefficient of economic development for Shanxi is the largest. The findings herein provide detailed insight for China's policymakers to effectively improve the level of regional green innovation domestically, which is of constructive significance to narrow the gap of regional green innovation and realize the coordinated and sustainable development of economy. (C) 2020 Elsevier Ltd. All rights reserved.",Regional green innovation,Spatial-temporal heterogeneity,Driving factors,Logarithmic mean divisia index (LMDI),Geographical and temporal weighted regression (GTWR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_64,"Peng, Chuanjing","Du, Lin","Ren, Hangxing","Li, Xiong","Li, Xiangyuan",,,,,,,,,,,,,Spatial Heterogeneity of Combined Factors Affecting Vegetation Greenness Change in the Yangtze River Economic Belt from 2000 to 2020,REMOTE SENSING,DEC 2023,2,"Vegetation greenness change is the result of the combination of natural and anthropogenic factors. Understanding how these factors individually and collectively affect vegetation dynamics and whether their spatial heterogeneity has any effect on vegetation greenness change is the crucial investigation area. Previous studies revealed the distinct characteristics of spatial and temporal heterogeneity in the impact factors influencing vegetation greenness change across various regions, often assuming a linear contribution mechanism between vegetation greenness change and these drivers. However, such a simplistic assumption fails to adequately capture the real-world dynamics of vegetation greenness change. Thus, this study firstly used geographical detector (Geodetector) to quantitatively measure the contribution of each factor to vegetation greenness change considering spatial heterogeneity in the Yangtze River Economic Belt (YREB) during the growing season from 2000 to 2020, then selecting significant factors from numerous drivers with the recursive feature elimination algorithm combined with a random forest model (RFE-RF), which is able to reduce redundant features in the data and prevent overfitting. Finally, four stable impact factors and the spatial heterogeneity of some factors contributing to vegetation greenness change were identified. The results show that approximately 83% of the regional vegetation has shown an overall increasing trend, while areas undergoing rapid development predominantly experienced a decline in greenness. Single factor screened by Geodetector with the explanatory power greater than 10% for vegetation greenness change included temperature (Tem), population density (PD), the land-use/land-cover (LULC), DEM, wind speed, and slope. The RFE-RF method identified precipitation (Pre) and CO2 emissions as additional influential factors for vegetation greenness change, in addition to the first four factors mentioned previously. These findings suggest that the four stable factors consistently influence vegetation greenness change. Combined with the principles of the algorithms and the above results, it was found that the spatial heterogeneity of wind speed and slope has an effect on vegetation greenness change, whereas the spatial heterogeneity of Pre and CO2 emissions has minimal effect.",vegetation greenness change,geographical detector,recursive feature elimination,impact factors,spatial heterogeneity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stable factors,,,,,
Row_65,"Xie, Miao","Jiang, Zhe","Sainju, Arpan Man",,,,,,,,,,,,,,,Geographical Hidden Markov Tree for Flood Extent Mapping,,2018,18,"Flood extent mapping plays a crucial role in disaster management and national water forecasting. Unfortunately, traditional classification methods are often hampered by the existence of noise, obstacles and heterogeneity in spectral features as well as implicit anisotropic spatial dependency across class labels. In this paper, we propose geographical hidden Markov tree, a probabilistic graphical model that generalizes the common hidden Markov model from a one dimensional sequence to a two dimensional map. Partial order class dependency is incorporated in the hidden class layer with a reverse tree structure. We also investigate computational algorithms for reverse tree construction, model parameter learning and class inference. Extensive evaluations on both synthetic and real world datasets show that proposed model outperforms multiple baselines in flood mapping, and our algorithms are scalable on large data sizes.",Geographical Hidden Markov Tree,Spatial classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDD'18: PROCEEDINGS OF THE 24TH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY & DATA MINING,,,,
Row_66,"Chu, Lin","Sun, Tiancheng","Wang, Tianwei","Li, Zhaoxia","Cai, Chongfa",,,,,,,,,,,,,"Temporal and Spatial Heterogeneity of Soil Erosion and a Quantitative Analysis of its Determinants in the Three Gorges Reservoir Area, China",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,NOV 2020,14,"As the most typical ecologically fragile area in South China, the Three Gorges Reservoir Area (TGRA) suffers from water and soil loss, which has threatened the local ecological environment. Understanding the spatial heterogeneity of soil erosion and exploring its determinants are of great significance in preventing soil erosion and maintaining ecological sustainability in the TGRA. This study investigates the spatial heterogeneity of soil erosion and quantitatively identifies the determinants in the TGRA based on the Chinese Soil Loss Equation (CSLE) and geographical detector method. This study concluded that the soil erosion status generally improved from 1990 to 2015, showing an increasing trend from 1990 to 2000 and a decreasing trend from 2000 to 2010. Slope, land use, and vegetation coverage were the dominant individual factors affecting soil erosion in the TGRA. For the interaction factor, the combinations of land-use type and slope and vegetation coverage and slope were the key determinants, explaining 68.7% and 63.1% of the spatial heterogeneity of soil erosion in the TGRA from 1990 to 2015, respectively. Moderate and higher levels of soil erosion occurred in areas where the slope was greater than 25 degrees. Among the land-use types, dry land and bare land were prone to soil erosion. These findings reveal that land-use type and vegetation coverage should be considered for the effective prevention of soil erosion, and cultivation on sloped farmland should be prohibited, especially on slopes higher than 25 degrees in the TGRA.",soil erosion,CSLE,spatial heterogeneity,geographical detector,determinants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGRA,,,,,
Row_67,"Jenkins, H. E.","Gegia, M.","Furin, J.","Kalandadze, I.","Nanava, U.","Chakhaia, T.","Cohen, T.",,,,,,,,,,,"Geographical heterogeneity of multidrug-resistant tuberculosis in Georgia, January 2009 to June 2011",EUROSURVEILLANCE,MAR 20 2014,9,"In 2011, Georgia, in the Caucasus, reported that 11% of new and 32% of previously treated tuberculosis (TB) cases nationally had multidrug-resistant TB (MDR-TB). To help understand the mechanisms driving these high risks of drug-resistance and plan for targeted interventions, we identified geographical variability in the MDR-TB burden in Georgia and patient-level MDR-TB risk factors. We used routinely collected surveillance data on notified TB cases to estimate the MDR-TB incidence/100,000 people and the percentage of TB cases with MDR-TB for each of 65 districts and regression modelling to identify patient-level MDR-TB risk factors. 1,795 MDR-TB cases were reported (January 2009-June 2011); the nationwide notified MDR-TB incidence was 16.2/100,000 but far higher (837/100,000) in the penitentiary system. We found substantial geographical heterogeneity between districts in the average annual MDR-TB incidence/100,000 (range: 0.0-5.0 among new and 0.0-18.9 among previously treated TB cases) and the percentage of TB cases with MDR-TB (range: 0.0%-33.3% among new and 0.0%-75.0% among previously treated TB cases). Among treatment-naive individuals, those in cities had greater MDR-TB risk than those in rural areas (increased odds: 43%; 95% confidence interval: 20%-72%). These results suggest that interventions for interrupting MDR-TB transmission are urgently needed in prisons and urban areas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_68,"Miranda-Pena, Lindys","Buitrago-Duque, Laura","Rangel-Buitrago, Nelson","Gracia, C. Adriana","Arana, Victoria Andrea","Trilleras, Jorge",,,,,,,,,,,,Geographical heterogeneity and dominant polymer types in microplastic contamination of lentic ecosystems: implications for methodological standardization and future research,RSC ADVANCES,SEP 8 2023,2,"This study examines the prevalence and distribution of microplastic polymer types in lentic ecosystems, revealing significant heterogeneity across different geographical regions and ecosystems. The most dominant type of microplastic observed was polyethylene (PE), followed by polypropylene (PP) and polystyrene (PS), which aligns with global production rates. North America, Asia, and Europe were identified as the regions with the highest microplastic contamination, with the United States, China, Italy, and Spain being the most affected countries. The physical characteristics of each ecosystem, such as wind speed, depth, and eutrophication, alongside seasonal variations, and anthropogenic activities, contributed to the observed heterogeneity in microplastics concentrations. The study highlights the need for further research on microplastics in lentic ecosystems, considering their unique physical characteristics and anthropogenic influences. A significant lack of methodological standardization in microplastics research was identified, leading to underestimation of microplastics prevalence and high heterogeneity in meta-analyses.This study examines the prevalence and distribution of microplastic polymer types in lentic ecosystems, revealing significant heterogeneity across different geographical regions and ecosystems.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_69,"Wen, Yongning","Chen, Min","Lu, Guonian","Lin, Hui","He, Li","Yue, Songshan",,,,,,,,,,,,Prototyping an open environment for sharing geographical analysis models on cloud computing platform,INTERNATIONAL JOURNAL OF DIGITAL EARTH,JUL 1 2013,48,"The sharing of geographical analysis models is of crucial importance for simulating geographic processes and phenomena in the current geographical information systems (e.g. Digital Earth), but there remain some issues that have not been completely resolved. The challenges include, eliminating model heterogeneity and searching for suitable infrastructures to support the open sharing and effective execution of models. Taking advantage of cloud computing, this article aims to address the above issues and develop an open environment for geographical analysis model sharing. On the basis of the analysis of the applicability of cloud computing, the architecture of the open environment is proposed. More importantly, key strategies designed for heterogeneous model description, model encapsulating as well as model deploying and transparent accessing in the cloud are discussed in detail to establish such an environment. Finally, the prototype environment is implemented, and experiments were conducted to verify the environment's feasibility to support the sharing of geographical analysis models.",geographical analysis models,cloud computing,open environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_70,"Jiang, Zhe","Xie, Miao","Sainju, Arpan Man",,,,,,,,,,,,,,,Geographical Hidden Markov Tree,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,FEB 1 2021,8,"Given a spatial raster framework with explanatory feature layers, a spatial contextual layer (e.g., a potential field), as well as a set of training samples with class labels, the spatial prediction problem aims to learn a model that can predict a class layer. The problem is important in societal applications such as flood extent mapping for disaster response and national water forecasting, but is challenging due to the noise, obstacles, and heterogeneity in feature maps, implicit spatial dependency between locations based on the contextual layer (e.g., gradient directions on a potential field), and the large number of sample locations. Existing work often assumes undirected spatial dependency, or directed dependency with a total order, and thus cannot reflect complex directed dependency with a partial order. In contrast, we recently proposed geographical hidden Markov tree, a probabilistic graphical model that generalizes the common hidden Markov model from a one-dimensional sequence to a two-dimensional map. Partial order class dependency is incorporated in the hidden class layer with a reverse tree structure. We also investigated computational algorithms for reverse tree construction, model parameter learning and class inference. This paper extends our recent model with overlaying class nodes between observation nodes and underlying hidden class nodes. The additional overlaying class layer makes the model more robust to large scale feature obstacles. We also proposed corresponding learning and inference methods. Extensive evaluations on real world datasets show that our models outperform multiple baselines in flood mapping applications, our algorithms are scalable on large data sizes, and the proposed extension enhances classification performance.",Geographical hidden Markov tree,directed class dependency,spatial prediction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_71,"Falowo, Olabisi E.",,,,,,,,,,,,,,,,,Heterogeneities of Wireless Networks: Radio Resource Management Challenges and Possible Solutions,WIRELESS PERSONAL COMMUNICATIONS,FEB 2017,2,"This paper examines the heterogeneities of wireless networks from six different perspectives, namely mobile terminals, radio access technologies (RATs), network services, users, network operators, and network geographical areas. These different aspects of wireless network heterogeneities offer certain benefits but also pose some challenges to effective management of radio resources. The challenges of wireless network heterogeneities are highlighted in this paper and possible solutions are proffered. The paper then compares recent network selection algorithms proposed for wireless networks with respect to the aspects of heterogeneities considered. Comparative analysis of the different network-selection algorithm shows that whereas RAT, services, and users heterogeneities have received much attention in the literature, terminal, operator, and geographical area heterogeneities have not been widely considered. Thus, more attention should be given terminal, operator, and geographical area aspects of wireless network heterogeneities so that the problems of radio resource management in wireless networks can be addressed in a more holistic way. An algorithm that considers the different aspects of network heterogeneities is proposed, and simulation results are given to highlight the effects of network heterogeneities on connection-level quality of service provisioning in heterogeneous wireless networks.",Wireless networks,Network heterogeneity,Mobile terminals,Radio access technology,User,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operator,,,,,
Row_72,"Quevedo, Renata Pacheco","Maciel, Daniel Andrade","Uehara, Tatiana Dias Tardelli","Vojtek, Matej","Renno, Camilo Daleles","Pradhan, Biswajeet","Vojtekova, Jana",Quoc Bao Pham,,,,,,,,,,Consideration of spatial heterogeneity in landslide susceptibility mapping using geographical random forest model,GEOCARTO INTERNATIONAL,DEC 13 2022,20,"Most previous studies of landslide susceptibility mapping (LSM) have not contemplated spatial heterogeneity and the commonly used models for LSM are aspatial, which could reduce model performance. Therefore, aiming to evaluate the applicability of spatial algorithms to predict landslide susceptibility, the performance of geographical random forest (GRF) was evaluated, in comparison to random forest (RF) and extreme gradient boosting (XGBoost). Based on the results, GRF presented the better performance (AUC = 0.876), followed by RF (AUC = 0.748) and XGBoost (AUC = 0.745). GRF also provided the most suitable susceptibility map. While RF and XGBoost presented almost 50% of the study area as susceptible, the GRF presented more concentrated susceptibility areas spatially, with a reasonable area for moderate (15.55%), high (8.73%) and very-high (2.59%) susceptibility classes. Finally, it can be inferred that spatial assessment may improve model performance, and that spatial models have a great potential for LSM.",Landslide susceptibility,GIS,random forest,spatial autocorrelation,XGBoost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_73,"Demsash, Addisalem Workie",,,,,,,,,,,,,,,,,Spatial distribution and geographical heterogeneity factors associated with households' enrollment level in community-based health insurance,FRONTIERS IN PUBLIC HEALTH,MAY 17 2024,0,"Background: Healthcare service utilization is unequal among different subpopulations in low-income countries. For healthcare access and utilization of healthcare services with partial or full support, households are recommended to be enrolled in a community-based health insurance system (CBHIS). However, many households in low-income countries incur catastrophic health expenditure. This study aimed to assess the spatial distribution and factors associated with households' enrollment level in CBHIS in Ethiopia. Methods: A cross-sectional study design with two-stage sampling techniques was used. The 2019 Ethiopian Mini Demographic and Health Survey (EMDHS) data were used. STATA 15 software and Microsoft Office Excel were used for data management. ArcMap 10.7 and SaTScan 9.5 software were used for geographically weighted regression analysis and mapping the results. A multilevel fixed-effect regression was used to assess the association of variables. A variable with a p < 0.05 was considered significant with a 95% confidence interval. Results: Nearly three out of 10 (28.6%) households were enrolled in a CBHIS. The spatial distribution of households' enrollment in the health insurance system was not random, and households in the Amhara and Tigray regions had good enrollment in community-based health insurance. A total of 126 significant clusters were detected, and households in the primary clusters were more likely to be enrolled in CBHIS. Primary education (AOR: 1.21, 95% CI: 1.05, 1.31), age of the head of the household >35 years (AOR: 2.47, 95% CI: 2.04, 3.02), poor wealth status (AOR: 0.31, 95% CI: 0.21, 1.31), media exposure (AOR: 1.35, 95% CI: 1.02, 2.27), and residing in Afar (AOR: 0.01, 95% CI: 0.003, 0.03), Gambela (AOR: 0.03, 95% CI: 0.01, 0.08), Harari (AOR: 0.06, 95% CI: 0.02, 0.18), and Dire Dawa (AOR: 0.02, 95% CI: 0.01, 0.06) regions were significant factors for households' enrollment in CBHIS. The secondary education status of household heads, poor wealth status, and media exposure had stationary significant positive and negative effects on the enrollment of households in CBHIS across the geographical areas of the country. Conclusion: The majority of households did not enroll in the CBHIS. Effective CBHIS frameworks and packages are required to improve the households' enrollment level. Financial support and subsidizing the premiums are also critical to enhancing households' enrollment in CBHIS.",health insurance,households,enrollment,spatial analysis,geographical analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
