,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,conference,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30
Row_126,"Zhou, Long","Shen, Guoqiang","Li, Chaosu","Chen, Tian","Li, Sihong","Brown, Robert",,,,,,Impacts of land covers on stormwater runoff and urban development: A land use and parcel based regression approach,LAND USE POLICY,APR 2021,21,"Extensive studies have shown that stormwater yield and quality in a city are heavily influenced by its land uses and land covers (LULC). However, the majority of these studies have been done at the major watershed levels using remote sensing data with only a few urban LULC types and at lower resolutions. This empirical study uses the City of Corvallis, Oregon in the U.S. as a case to establish robust regression relations between existing urban LULC and stormwater yield or quality at the land parcel level by environmental models and high-resolution spatial data. The environmental models are based on parcel-level hydrological conditions and spatial analysis to assess the watersheds and land parcels suitable for minimal stormwater yield and highest quality for single and mixed-use urban development scenarios containing buildings, roads & driveways, sidewalks & paths, parking lots and open spaces. This study not only can provide a novel approach for local jurisdictions to evaluate the impacts of public urban development plans on a built environment but can assist private property owners to estimate the impacts of their private development projects. In addition to analysing hydrological conditions and conducting green infrastructure design upon the completed urban land use plan in previous studies, the present work indicates the necessity and possibility to apply parcel-level hydrological spatial analysis to assist local land use planners and watershed managers in making informed decisions with regard to land development scenarios at the initial stage.",Land use and land cover,Land parcel,Stormwater management,,Development impact assessment,,,,,,,,,,,,,,,,,,,,,,,,,
Row_127,"Kerbo, Aklilu Amiga","Degaga, Degefa Tolossa","Beyene, Abebe Damte",,,,,,,,,"Eucalyptus tree expansion and land use and land cover dynamics in Ethiopia- empirical evidence from Gurage Zone, Ethiopia",LAND USE POLICY,JUN 2024,1,"Gurage Zone is one of the areas of Ethiopia experiencing rapid land use and land cover (LULC) changes over the past few decades. This study assessed the contribution of eucalyptus expansion to LULC changes based on a detailed household level survey, key informant interviews, focus group discussions and a set of Landsat imageries. Both descriptive statistics and econometric model were employed for the analysis of drivers of eucalyptus plantation. LULC change detection technique was used to examine the changes in LULC over time. This study achieved a mean classification accuracy of 89.17% and 0.83 overall Kappa statistics for the tree LULC maps. The result of descriptive analysis revealed that more than 42% of the sampled households have planted eucalyptus trees on crop land. The study indicated that eucalyptus plantation which was fourth in LULC ranking in 2000 has increased by 68.3% in 2021 to become the second largest land cover next to crop land. On the other hand, from 2010 to 2021, the area covered by crops showed a decline. This indicates eucalyptus tree to be the major cause of LULC change in the study area. The econometric estimation identified the micro-level drivers such as land size and access to market to be important factors influencing eucalyptus plantation. This study suggests that the rapid expansion of eucalyptus plantation on fertile soil requires an immediate policy response in order to balance food crop production and eucalyptus plantation in Gurage Zone.",Eucalyptus expansion,Land use land cover change,Crop land,,Micro-level drivers,Gurage Zone,,,,,,,,,,,,,,,,,,,,,,,,
Row_128,"Gotlieb, Yosef","Garcia Giron, Jorge Daniel",,,,,,,,,,The role of land use conversion in shaping the land cover of the Central American Dry Corridor,LAND USE POLICY,MAY 2020,11,"The Central American Dry Corridor (CADC) is a trans-border region characterized by climatic and ecological continuities. It is expected to experience rising aridity and severe hydro-climatic events due to climate change. Subsistence agriculture and other rural livelihoods to which land cover is central are widely practiced in this impoverished territory of approximately eleven million people.The CADC's land cover was profiled to determine: a) how it differs from Non-CADC areas, and b) the role of land use in shaping these differences. Spatial autocorrelation analysis using satellite data showed that forest cover is a third less prevalent in the CADC than in the Non-CADC while the share of mosaic vegetation and mosaic cropland is nearly double. A naturally prevalent cover type in the CADC, tropical dry forest (TDF), has been largely eliminated.The significantly lesser proportion of forest and greater percentage of coverage consistent with agriculture and ranching implicate land use conversion, specifically deforestation for agricultural expansion and cattle ranching, in shaping CADC land coverage. The process began in the mid-1800s when small-scale agriculturalists migrated to the region followed by large-scale export crop and beef production, primarily for international markets. Deforestation peaked after WWII, concluding by the 1990s with the conversion of most woodlands. Similar patterns now threaten forests along the Caribbean coast.Traditional land use practices cannot sustain local communities or preserve the resource base, thereby contributing to rural outmigration. Adopting sustainable practices and promoting livelihoods strategies leading to forest regeneration will be fundamental for CC adaptation in the CADC.",Central American Dry Corridor,Deforestation,Land cover-land use,,Sustainable development,Extreme events,Spatial autocorrelation,Land use conversion,Climate change,,,,,,,,,,,,,,,,,,,,,
Row_129,"Hernandez, C. Sanchez","Hart, G.",,,,,,,,,,LAND COVER AND LAND USE RESEARCH FOR A CREATION OF A NATIONAL MAPPING AGENCY FRAMEWORK,,2010,0,"Historically Ordnance Survey has collected information on land cover and land use but as this for primarily cartographic purposes it has not been done in a methodical and comprehensive way. As a result the land cover and land use information currently captured by Ordnance Survey fits more into historic cartographic categories than a classification system designed to be used for computational purposes.In future, the challenge for a National Mapping Agency is that designing a classification system that can respond to the needs of a variety of users, and where all possible end uses cannot be known a priori. However, there is no one ideal or universal classification of land use and land cover. A review of different land cover and land use classifications within the UK shows that a classification is usually designed for a particular purpose, a particular geographical area or a particular user. An attempt to create a national categorisation of land use and land cover was the NLUD (National Land Use Database) classification. However, this has gained little traction within government agencies and it lacks the degree of flexibility that a national classification should allow for.Our research has concentrated on two different levels: (i) the design of a flexible framework that would allow for the integration and relation of different classification systems and taxonomies and (ii) the design of an ontology and a high level classification system for use with data collected from different sources including remote sensing and GIS and fit for the purposes of a National Mapping framework.A test performed in the urban area of Bournemouth has showed promising results. This test has helped to identify what research needs to be done next in terms of methods and data.",Land Cover,Land Use,Ontology,"100 YEARS ISPRS ADVANCING REMOTE SENSING SCIENCE, PT 2",Framework,Classification,,,,,,,,,,,,,,,,,,,,,,,,
Row_130,"Fernandez-Nogueira, David","Corbelle-Rico, Eduardo",,,,,,,,,,Determinants of Land Use/Cover Change in the Iberian Peninsula (1990-2012) at Municipal Level,LAND,JAN 2020,13,"This work analyzes the determinants associated with main land use/cover changes in the Iberian Peninsula during the 1990-2012 period using a decision tree model. Our main objective is to identify broad-scale patterns that associate the characteristics of geographic areas with the dominant land use/cover change process based on CORINE Land Cover (Coordination of Information on the Environment) and defined in a previously published work. Biophysical, structural and socioeconomic variables were considered as potentially explanatory of the dominant change process at municipal scale. The resulting model allowed identification of a common pattern in Portugal and Spain (urbanization being highly associated to areas already densely populated in the previous period), but also some diverging ones. In particular, dominant trends in Portuguese territory appear to be highly determined by wildfire occurrence. In contrast, Spanish municipalities showed more diverse patterns, usually associated to biophysical determinants like average forest productivity or average terrain slope.",CORINE Land Cover,land use,cover changes,,decision tree,Iberian Peninsula,,,,,,,,,,,,,,,,,,,,,,,,
Row_131,"Munoz-Rojas, M.","Jordan, A.","Zavala, L. M.","De la Rosa, D.","Abd-Elmabod, S. K.","Anaya-Romero, M.",,,,,,IMPACT OF LAND USE AND LAND COVER CHANGES ON ORGANIC CARBON STOCKS IN MEDITERRANEAN SOILS (1956-2007),LAND DEGRADATION & DEVELOPMENT,FEB 2015,139,"During the last few decades, land use changes have largely affected the global warming process through emissions of CO2. However, C sequestration in terrestrial ecosystems could contribute to the decrease of atmospheric CO2 rates. Although Mediterranean areas show a high potential for C sequestration, only a few studies have been carried out in these systems. In this study, we propose a methodology to assess the impact of land use and land cover change dynamics on soil organic C stocks at different depths. Soil C sequestration rates are provided for different land cover changes and soil types in Andalusia (southern Spain). Our research is based on the analysis of detailed soil databases containing data from 1357 soil profiles, the Soil Map of Andalusia and the Land Use and Land Cover Map of Andalusia. Land use and land cover changes between 1956 and 2007 implied soil organic C losses in all soil groups, resulting in a total loss of 168Tg (approximately 033Tg y(-1)). Afforestation increased soil organic C mostly in the topsoil, and forest contributed to sequestration of 862Mgha(-1) of soil organic C (254 per cent). Deforestation processes implied important C losses, particularly in Cambisols, Luvisols and Vertisols. The information generated in this study will be a useful basis for designing management strategies for stabilizing the increasing atmospheric CO2 concentrations by preservation of C stocks and C sequestration. Copyright (c) 2012 John Wiley & Sons, Ltd.",carbon sequestration,climate change,CORINE land cover,,land use,soil organic carbon,,,,,,,,,,,,,,,,,,,,,,,,
Row_132,"Gong, Y. L.","Wu, Y. J.","Du, Y. X.",,,,,,,,,Research on the correlation between land use/ land cover changes and Lyme disease in Maryland,,2017,0,"The purpose of this paper is to study the correlation between land use/land cover changes and the disease. To explore which kinds of land type variation can influence the disease transmission. We used ENVI and ArcGIS technology and combined with the data correlation and the method of geospatial overlay analysis to do data processing and results analysis that are the three period remote sensing images which about 2001, 2011, 2006 in Maryland. Results showed that: time scale, the relationship between Lyme disease and forest wetland and pasture land was negative correlation, but it positively correlated with bare land, grassland and waters. Spatial scale, Lyme disease mainly distributes in the western and southern areas in Maryland. There is spatial correlation between the farmland, wetland and the waters. We concluded that through the spatial-temporal distribution: waters and wet grasslands provide are so good habitat for ticks that the probability of Lyme disease spreading is becoming large. By increasing the contact frequency between human beings and animals makes ticks are more likely to spread disease, thus increasing the incidence of Lyme disease.",Land Use/Land Cover Changes,Lyme disease,Spatial Distribution,LAND RECLAMATION IN ECOLOGICAL FRAGILE AREAS,Correlativity,Morbidity of Disease,,,,,,,,,,,,,,,,,,,,,,,,
Row_133,"Shrestha, Uttam Sagar",,,,,,,,,,,Land Use and Land Cover Classification from ETM Sensor Data : A Case Study from Tamakoshi River Basin of Nepal,,2014,0,"The mountain watershed of Nepal is highly rugged, inaccessible and difficult for acquiring field data. The application of ETM sensor Data Sat satellite image of 30 meter pixel resolutions has been used for land use and land cover classification of Tamakoshi River Basin (TRB) of Nepal. The paper tries to examine the strength of image classification methods in derivation of land use and land classification. Supervised digital image classification techniques was used for examination the thematic classification. Field verification, Google earth image, aerial photographs, topographical sheet and GPS locations were used for land use and land cover type classification, selecting training samples and assessing accuracy of classification results. Six major land use and land cover types: forest land, water bodies, bush/grass land, barren land, snow land and agricultural land was extracted using the method. Moreover, there is spatial variation of statistics of classified land uses and land cover types depending upon the classification methods.The image data revealed that the major portion of the surface area is covered by unclassified bush and grass land covering 34.62 per cent followed by barren land(28 per cent). The knowledge derived from supervised classification was applied for the study. The result based on the field survey of the area during July 2014 also verifies the same result. So image classification is found more reliable in land use and land cover classification of mountain watershed of Nepal.",Land use,land cover,Land sat,ISPRS TECHNICAL COMMISSION VIII SYMPOSIUM,supervised,,,,,,,,,,,,,,,,,,,,,,,,,
Row_134,"Liu, Yuhao","Panakkal, Pranavesh","Dee, Sylvia","Balakrishnan, Guha","Padgett, Jamie","Veeraraghavan, Ashok",,,,,,ISLAND: Interpolating Land Surface Temperature using land cover,REMOTE SENSING APPLICATIONS-SOCIETY AND ENVIRONMENT,NOV 2024,0,"Cloud occlusion is a common problem in the field of remote sensing, particularly for retrieving Land Surface Temperature (LST). Remote sensing thermal instruments onboard operational satellites are supposed to enable frequent and high-resolution observations over land; unfortunately, clouds adversely affect thermal signals by blocking outgoing longwave radiation emission from the Earth's surface, interfering with the retrieved ground emission temperature. Such cloud contamination severely reduces the set of serviceable LST images for downstream applications, making it impractical to perform intricate time-series analysis of LST. In this paper, we introduce a novel method to remove cloud occlusions from Landsat 8 LST images. We call our method ISLAND, an acronym for Interpolating Land Surface Temperature using land cover. Our approach uses LST images from Landsat 8 (at 30 m resolution with 16-day revisit cycles) and the NLCD land cover dataset. Inspired by Tobler's first law of Geography, ISLAND predicts occluded LST through a set of spatio-temporal filters that perform distance-weighted spatiotemporal interpolation. A critical feature of ISLAND is that the filters are land cover-class aware, making it particularly advantageous in complex urban settings with heterogeneous land cover types and distributions. Through qualitative and quantitative analysis, we show that ISLAND achieves robust reconstruction performance across a variety of cloud occlusion and surface land cover conditions, and with a high spatio-temporal resolution. We provide a public dataset of 20 U.S. cities with pre-computed ISLAND LST outputs. Using several case studies, we demonstrate that ISLAND opens the door to a multitude of high-impact urban and environmental applications across the continental United States.",Cloud removal,Land surface temperature,Thermal imaging,,Landsat,Land cover,,,,,,,,,,,,,,,,,,,,,,,,
Row_135,"Trincsi, Kate",Thi-Thanh-Hien Pham,"Turner, Sarah",,,,,,,,,Mapping mountain diversity: Ethnic minorities and land use land cover change in Vietnam's borderlands,LAND USE POLICY,NOV 2014,35,"In the complex agro-ecological conditions of Vietnam's northern borderlands, attempts by ethnic minority farmers to create sustainable livelihoods, along with the impacts of state development policies, have direct consequences for land use and land cover (LULC) change. In this paper we analyse the degree to which LULC has changed and diversified from 1999 to 2009 in Lao Cai Province and the underlying relationships with ethnic minority livelihood diversification strategies. We examine the correlation between LULC diversity and various socioeconomic and biophysical proxies using a spatial autoregressive model. Our findings indicate two major changes in LULC: an increase in closed canopy forest and substantial urban growth. LULC diversity increased between 1999 and 2009, suggesting a transition between land uses and/or a diversification of livelihood strategies. Socioeconomic proxies are significant predictors of LULC diversity in both years, while biophysical proxies are only effective predictors in 2009. In-depth interviews regarding state-led policies and ethnic minority livelihoods reveal some of the underlying mechanisms of such LULC transitions and associations. (C) 2014 Elsevier Ltd. All rights reserved.",Land use land cover change,Diversity,Ethnic minorities,,"Livelihoods, Borderlands",Vietnam,,,,,,,,,,,,,,,,,,,,,,,,
Row_136,"Kucsicsa, Gheorghe","Popovici, Elena-Ana","Balteanu, Dan","Grigorescu, Ines","Dumitrascu, Monica","Mitrica, Bianca",,,,,,Future land use/cover changes in Romania: regional simulations based on CLUE-S model and CORINE land cover database,LANDSCAPE AND ECOLOGICAL ENGINEERING,JAN 2019,79,"Since 1990, a series of fundamental political and socioeconomic transformations in Romania have led to important structural and functional changes in the land use/cover system. This paper aims to assess the past land use/cover dynamics during the period 1990-2006 and to simulate future changes (2007-2050) to identify the main land use/cover change processes and their potential environmental and land management implications. The simulation was carried out using the Conversion of Land Use and its Effects at Small regional extent (CLUE-S) model with the CORINE Land Cover (CLC)database and several biophysical and socioeconomic explanatory variables associated with the current land use/cover pattern. Using the receiver operating characteristic (ROC) method and cross-classification maps, statistical and spatial validation was assessed to evaluate the performance of the predicted data. The predicted map could represent a useful tool for monitoring and quantifying spatial and temporal land use/cover changes at national and particularly regional level, in order to adopt appropriate land use planning and environmental policy in line with sustainable development principles. In addition, the results could be used for further analyses to examine the consequences of land use/cover changes on landscape diversity and biodiversity, the interaction between land use/cover changes and natural hazards, or the implications for ecosystem services.",CLC database,CLUE-S model,Land use,,cover change,Romania,,,,,,,,,,,,,,,,,,,,,,,,
Row_137,"Musetsho, Khangwelo Desmond","Chitakira, Munyaradzi","Nel, Willem",,,,,,,,,Mapping Land-Use/Land-Cover Change in a Critical Biodiversity Area of South Africa,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,OCT 2021,11,"Land-use/land-cover (LULC) changes have implications for the long-term outlook of environmental processes, especially in the face of factors such as climate change. These changes can have serious consequences for humans. In this study, remote sensing and geographic information system methods were used to investigate LULC changes in a critical biodiversity area (CBA) in the northern sections of Limpopo Province in South Africa from 1990 to 2018 using data obtained from the South African National Land Cover project. In 1990, the dominant land cover comprised thickets and dense bush, followed by woodland and built-up areas, covering proportions of 40, 24 and 18% of the total land-cover area, respectively. Bare and forest areas were the least dominant classes during this time. In 2018, the dominant land cover was woodland, followed by built-up areas, comprising 71 and 20% of the total area, respectively. Subsistence agriculture is a land-cover class with a relatively higher area compared to water bodies, wetlands and other classes. Between 1990 and 2018, significant changes in land-cover were noted for thickets and dense bush, woodland, water bodies, subsistence agriculture and built-up areas. Woodland increased by over 1000 hectares (ha) per year, while thickets decreased by over 900 ha per year. Interviews were conducted with local residents to determine what they thought were the drivers behind the observed changes. According to these interviews, the drivers included deforestation, agricultural activities in wetlands, sand and gravel mining, among others. The study's outcomes are critical for future land-use planning exercises and the long-term conservation of this CBA, an area rich in biodiversity and a strategic water source for the communities.",land-use/land-cover change,land-use planning,critical biodiversity area,,traditional authority,,,,,,,,,,,,,,,,,,,,,,,,,
Row_138,"John, Jovish","Bindu, G.","Srimuruganandam, B.","Wadhwa, Abhinav","Rajan, Poornima",,,,,,,"Land use/land cover and land surface temperature analysis in Wayanad district, India, using satellite imagery",ANNALS OF GIS,2020,42,"This paper assesses Land Use/Land Cover (LULC) classification and Land Surface Temperature (LST) in Wayanad district during the years 2004 and 2018. The LULC classification of Wayanad district is identified using IRS P6 (Linear Imaging Self Scanner) LISS- III, and LST using thermal band of (Enhanced Thematic Mapper Plus) ETM+ imageries. Maximum likelihood classification (MLC) technique is opted to categorize six land-use features: water body, paddy field, forest, dense, agricultural crops and built-up. From 2004 to 2018, impacts of changes in features are correlated with the raised LST. Overall vegetation cover shows an increasing pattern during the study period. The water bodies in Wayanad district improved from 4.30 to 32.68 sq.km due to construction of two dams: Banasurasagar and Karappuzha. However, agricultural crops and paddy field area have decreased by 4.7% in last 14 years. Decreasing rate of agricultural crops can be directly linked to population growth, thereby developing various built-up zones for basic needs. Forest and dense vegetated cover area are increased nearly 2.3 and 3.0%, respectively, during the study period, while bamboo degradation has also been witnessed from 2008 to 2013. The built-up class shows growth from 1.48 to 5.69% of total land area during 2004 and 2018. LULC have noticeable influences on LST with a negative correlation between vegetation cover and LST with a decrease of 1.75oC. The study findings can help the local authorities to implement urban planning regulations for public awareness and policy makers for a sustainable planning and management in forthcoming years.",Land use/land cover,land surface temperature,vegetation indices,,GIS and remote sensing,,,,,,,,,,,,,,,,,,,,,,,,,
Row_139,"Hibbard, Kathy","Janetos, Anthony","van Vuuren, Detlef P.","Pongratz, Julia","Rose, Steven K.","Betts, Richard","Herold, Martin","Feddema, Johannes J.",,,,Research priorities in land use and land-cover change for the Earth system and integrated assessment modelling,INTERNATIONAL JOURNAL OF CLIMATOLOGY,NOV 2010,75,"This special issue has highlighted recent and innovative methods and results that integrate observations and modelling analyses of regional to global aspect of biophysical and biogeochemical interactions of land-cover change with the climate system. Both the Earth System and the Integrated Assessment modeling communities recognize the importance of an accurate representation of land use and land-cover change to understand and quantify the interactions and feedbacks with the climate and socio-economic systems, respectively. To date, cooperation between these communities has been limited. Based on common interests, this work discusses research priorities in representing land use and land-cover change for improved collaboration across modelling, observing and measurement communities. Major research topics in land use and land-cover change are those that help us better understand (1) the interaction of land use and land cover with the climate system (e.g. carbon cycle feedbacks), (2) the provision of goods and ecosystem services by terrestrial (natural and anthropogenic) land-cover types (e.g. food production), (3) land use and management decisions and (4) opportunities and limitations for managing climate change (for both mitigation and adaptation strategies). Copyright (C) 2010 Royal Meteorological Society and Crown Copyright.",land use,land cover,Earth system models,,integrated assessment models,research priorities,,,,,,,,,,,,,,,,,,,,,,,,
Row_140,"Qi, Jiaguo","Tao, Shiqi","Pueppke, Steven G.","Espolov, Tlektes E.","Beksultanov, Marat","Chen, Xi","Cai, Xiumin",,,,,"Changes in land use/land cover and net primary productivity in the transboundary Ili-Balkhash basin of Central Asia, 1995-2015",ENVIRONMENTAL RESEARCH COMMUNICATIONS,JAN 2020,18,"Using remotely sensed data, we documented changes in land use/land cover (LULC) from 1995 to 2015 and net primary productivity (NPP) from 2000 to 2014 in Central Asia's 415,048 km(2) Ili-Balkhash Basin (IBB). This basin, which is shared by China and Kazakhstan, is in the midst of significant socioeconomic transformation due to the collapse of the Soviet Union, the emergence of Kazakhstan, and the economic rise of China. Grazing land covered 82.4% of the IBB in 1995; water bodies and bare land were the only other LULC categories occupying more than 3% of the basin's area. Changes in LULC were most evident on the Chinese side of the border, where crop production areas increased and grazing areas decreased between 1995 and 2015. The area of irrigated cropland in China grew by nearly 30%, primarily in the upper Tekes River valley and along the Ili River near the border with Kazakhstan. In contrast, the irrigated lands in Kazakhstan shifted geographically during this period, but the extent did not change. Expansion of wetlands and permanent water bodies, which occupied 2.1 to 2.9% and 4.6 to 4.7%, respectively, of the IBB in 1995 and 2015, was associated with accretion of Lake Balkhash and Kapchagai Reservoir in Kazakhstan and the construction of new reservoirs in China. NPP of the basin approached 700 g C m(-2)/year in a few areas but was generally less than half this level and characterized by a declining trend except in highly productive irrigated areas of dense, stable vegetation. NPP decreases of more than -10 g C m(-2)/year were apparent in mountainous and upland areas, as well as broad band of grassland and cropland in Kazakhstan. Areas surrounding Lake Balkhash were characterized by unstable to moderately stable, often sparse vegetation.",Central Asia,endorheic river basins,Ili river,,lake Balkhash,land use and land cover,remote sensing,,,,,,,,,,,,,,,,,,,,,,,
Row_141,"Nagaraja, R.","Kumar, Rajiv","Kesava Rao, P.","Ravishankar, G.","Saxena, Manojraj","Tejaswini, V.",,,,,,IRS-1C Applications in Land Use/Land Cover Studies: Indian Experience,JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,JAN 2021,1,"The Indian experience, in use of remotely sensed data for land use/land cover analysis, gained over past many years through the implementation of various projects. The satellite IRS-1C which was launched on December 28th, 1995 provided a new dimension to the mapping capability of land use/land cover analysis on various scales. Based on different studies, it is concluded that WiFS data can be used for level-I classification for national and regional level applications, whereas LISS-III alone can be use up to level-III for subregional scale and a combination of LISS-III and PAN data can be used for village-level information. IRS-lC data have been extremely useful in the generation of district-wise land used and cover maps, depicting the information up to level-II on 1:250,000 scale for land use planning and National Wasteland Inventory Project. A systematic study was carried out to identify and map 13 different types of wastelands on 1:50,000 scale up to village and micro-watershed level for some districts using IRS 1C data. A digital data with standard codification system in four different spatial layers were generated for the entire country, and about 63.85 million ha have been estimated as wastelands through this study. Various watershed programs are being implemented in the country consulting this database. A successor to this project ""Monitoring of Wastelands,"" which aim at reporting the changes in wastelands statistics in India, considering various developmental programs launched by Govt. of India since early 1990 has been implemented using IRS 1C data.",Land use,land cover,Wastelands,,Degraded lands,Remote sensing,Indian remote sensing satellites,,,,,,,,,,,,,,,,,,,,,,,
Row_142,"Islam, Shahidul","Zhang, Miao","Yang, Hong","Ma, Mingguo",,,,,,,,Assessing inconsistency in global land cover products and synthesis of studies on land use and land cover dynamics during 2001 to 2017 in the southeastern region of Bangladesh,JOURNAL OF APPLIED REMOTE SENSING,OCT 24 2019,6,"High-quality land use and land cover data are important for monitoring and analyzing environmental changes in the background of global warming. This study assessed the spatial and areal inconsistencies in the four most recent multiresources land cover products in a complex manner using the common classification systems of International Geosphere-Biosphere Program (IGBP)-17, IGBP-9, IPCC-5, and TC (vegetation, wetlands, and others only). Based on inconsistencies and multitemporal land cover datasets, a synthesis of the study was triggered out on land use and land cover dynamics during 2001 to 2017 in the southeastern region of Bangladesh. The overall areal and spatial inconsistencies decreased from high to low levels of aggregation (IGBP-17 to TC), indicating that the inconsistencies are not only influenced by the level of thematic detail and landscape complexity but also related to the conversion uncertainties. Overall, areal inconsistency in the comparison of the FROM-GLC and GlobeLand30 datasets was the smallest among the six pairs, whereas the pair of MODISLC and LULC was observed the highest inconsistencies. Based on an overall lower inconsistencies classification system (IGBP-9), the synthetic land use cover changes in the study area were assessed. During the period of study, the areal distribution of forest cover, built-up areas, and water increased annually by 0.4%, 1.32%, and 0.3% respectively, whereas the croplands and wetlands decreased by 0.5% and 0.3%, respectively. The dynamic changes of croplands, forest, and artificial surface were identified the prime cyclic land cover change. This research is helpful in providing training areas for the producer of land cover products. (C) 2019 Society of Photo-Optical Instrumentation Engineers (SPIE)",areal and spatial inconsistency,multiresource land cover products,common classification systems,,land use and land cover change,Landsat,,,,,,,,,,,,,,,,,,,,,,,,
Row_143,"Jalal, Rashed","Iqbal, Zaheer","Henry, Matieu","Franceschini, Gianluca","Islam, Mohammad S.","Akhter, Mariam","Khan, Zarin T.","Hadi, Mohammad A.","Hossain, Mohammed A.","Mahboob, M. Golam","Udita, Tasnuva S.",Toward Efficient Land Cover Mapping: An Overview of the National Land Representation System and Land Cover Map 2015 of Bangladesh,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,OCT 2019,17,"In response to prevailing classification inconsistency between land cover maps, developed by different organizations in different times at different scales, an object-based National Land Representation System (NLRS) for Bangladesh has been developed. The process, which began in 2013 and was completed in 2016, brought together several national organizations and involved an extensive process of consultation, data collection, translation, and analysis of existing land cover/use classification systems. The process focused on the interpretation of three legends from historic national land cover/use maps. Field inventory data were collected from over 1000 sites across the country to assist the process of land characterization and the development of a dynamic and representative overview of land cover and land use in Bangladesh. The system has been applied to the development of a wall-to-wall national land cover map for the year 2015. In this article, the methodological process and results of NLRS formulation and land cover map 2015 are presented. We also provide examples of how this interoperable system and the land cover dataset are being used for variety of applications including national forest resources assessment, estimation of REDD+ activity data, integration of biophysical and socioeconomic information, and semantic similarity assessment.",Consistency,harmonization,interoperability,,land cover ontology,standardization,,,,,,"Aziz, Tariq","Masum, Syed M.","Costello, Liam","Saha, Champa R.","Chowdhury, Abdullah A. M.","Salam, Abdus","Shahrin, Farzana","Sumon, Fazle R.","Rahman, Mahbubur","Siddique, Mohammad A.","Rahman, Mohammad M.","Jahan, Md N.","Shaunak, Mir F.","Rahman, Mohammad S.","Islam, Mohammad R.","Mosca, Nicola","D'Annunzio, Remi","Hira, Shrabanti","Di Gregorio, Antonio"
Row_144,"Lin, Meng-Hsuan","Lin, Ying-Tong","Tsai, Min-Lin","Chen, Yi-Ying","Chen, Yi-Chun","Wang, Hsueh-Ching","Wang, Chi-Kuei",,,,,Mapping land-use and land-cover changes through the integration of satellite and airborne remote sensing data,ENVIRONMENTAL MONITORING AND ASSESSMENT,MAR 2024,0,"An integrated, remotely sensed approach to assess land-use and land-cover change (LULCC) dynamics plays an important role in environmental monitoring, management, and policy development. In this study, we utilized the advantage of land-cover seasonality, canopy height, and spectral characteristics to develop a phenology-based classification model (PCM) for mapping the annual LULCC in our study areas. Monthly analysis of normalized difference vegetation index (NDVI) and near-infrared (NIR) values derived from SPOT images enabled the detection of temporal characteristics of each land type, serving as crucial indices for land type classification. The integration of normalized difference built-up index (NDBI) derived from Landsat images and airborne LiDAR canopy height into the PCM resulted in an overall performance of 0.85, slightly surpassing that of random forest analysis or principal component analysis. The development of PCM can reduce the time and effort required for manual classification and capture annual LULCC changes among five major land types: forests, built-up land, inland water, agriculture land, and grassland/shrubs. The gross change LULCC analysis for the Taoyuan Tableland demonstrated fluctuations in land types over the study period (2013 to 2022). A negative correlation (r = - 0.79) in area changes between grassland/shrubs and agricultural land and a positive correlation (r = 0.47) between irrigation ponds and agricultural land were found. Event-based LULCC analysis for Taipei City demonstrated a balance between urbanization and urban greening, with the number of urbanization events becoming comparable to urban greening events when the spatial extent of LULCC events exceeds 1000 m2. Besides, small-scale urban greening events are frequently discovered and distributed throughout the metropolitan area of Taipei City, emphasizing the localized nature of urban greening events.",SPOT images,Landsat images,Airborne lidar canopy height,,Land-cover/land-use change,Phenology,,,,,,,,,,,,,,,,,,,,,,,,
