,author1,author2,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author3,author4,author5,author6,author7,author8,keyword6,author9,author10,keyword7,conference,keyword8,keyword9,author11,keyword10,keyword11,keyword12,keyword13,author12,keyword14,keyword15,keyword16,keyword17,keyword18,author13,author14,author15
Row_239,"Agra, Janaina","Cornelissen, Tatiana",A global synthesis and meta-analysis of the environmental heterogeneity effects on the freshwater biodiversity,OIKOS,JAN 2024,5,"The spatial environmental heterogeneity (EH) has been invoked as an important factor to explain biodiversity. It is expected that higher spatial EH provides a wider range of resources and conditions for species with different requirements, leading to an increase of biodiversity. However, differences among geographical locations, ecosystem types, taxonomic groups, their occurrence zone, and methodological approaches may reveal idiosyncrasy between studies. Thus, we aimed to synthesize the global knowledge about the relationship between spatial EH and freshwater biodiversity (i.e. taxonomic and functional diversity, and their respective alpha and beta components). Through a systematic review, we integrated results from 98 studies, published in 33 different countries, about the role of spatial EH - biodiversity relationship in freshwater ecosystems. Through meta-analysis, we demonstrated that spatial EH has a positive effect over taxonomic and functional alpha diversity. Besides, we confirmed that the positive effect of spatial EH over taxonomic alpha diversity is consistent across geographical locations, ecosystem types, taxonomic groups, occurrence zones and between experiments with different methodological designs. Nonetheless, there was not enough evidence to robustly estimate the overall effect of spatial EH over taxonomic and functional beta diversity. Further, we discuss the mechanisms addressed to explain spatial EH-biodiversity relationship, and implications for the management, conservation and restoration plans for freshwater ecosystems.",beta diversity,environmental complexity,functional diversity,habitat heterogeneity,,"Viana-Junior, Arleu Barbosa","Callisto, Marcos",,,,,,,,,,,,,,,,,,,,,,,,,
Row_240,"Costanigro, Marco","Scozzafava, Gabriele",Vertical differentiation via multi-tier geographical indications and the consumer perception of quality: The case of Chianti wines,FOOD POLICY,FEB 2019,21,"We derive and estimate a model of demand for Geographical Indications allowing for subjective and heterogeneous quality perceptions, and study vertical differentiation based on multi-tier quality labels within the context of the strategy adopted by the Chianti Consortium. Quality perceptions and wine choices are elicited in an online experiment where the number of quality tiers is augmented incrementally in a between-subject design. The empirical model includes subjective quality perceptions as an (endogenous) explanatory variable, and unexplained heterogeneity in WTP for quality as a random parameter. We find that quality perceptions are endogenous to the labeling regime, and adding a high-quality label (Chianti Classico Gran Selezione) decreases the perceived quality of all other Chianti wines, but not the competitor wines. However, the market shared lost to perception restructuring is small compared to the benefits of increased vertical differentiation.",Minimum quality standards,Consumer perceptions,Geographical indications,Consumer beliefs,Consumer preferences,"Casini, Leonardo",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_241,"Kato, K","Tanizoe, C","Geographical variation in heading traits in wild emmer wheat, Triticum dicoccoides. II. Variation in heading date and adaptation to diverse eco-geographical conditions",HEREDITAS,1998,17,"Geographical variation in heading date was investigated for wild emmer wheat, Triticum dicoccoides, collected in Israel. A wide variation ranging from 6th April to 8th May was observed among 404 accessions, and inter-and intra-population variations were also detected. Correlation analysis with eco-geographical variables clearly showed that early heading types are adapted to warmer and drier conditions, while late heading types are adapted to cooler and more humid conditions. Especially for the inland populations, about 2/3 of the inter-population variation could be explained by five eco-geographical variables, that is, altitude, temperature, rainfall, humidity, and evaporation. Intra-population variation was also largely affected by temperature and water conditions. In contrast to the relatively uniform populations in the western area, the variation was larger in the southeastern area where wild emmer wheat grows under severe aridity stress. Considering that vernalization response and narrow-sense earliness were related to heading date in wild emmer wheat, the variation of these traits was essential for the adaptation to macro-and microgeographical heterogeneities or instability of growing conditions. It was concluded that eco-geographical heterogeneity is an important indicator to measure the genetic variability of adaptive traits.",,,,,,"Beiles, A","Nevo, E",,,,,,,,,,,,,,,,,,,,,,,,,
Row_242,"Espa, Giuseppe","Arbia, Giuseppe",Conditional versus unconditional industrial agglomeration: disentangling spatial dependence and spatial heterogeneity in the analysis of ICT firms' distribution in Milan,JOURNAL OF GEOGRAPHICAL SYSTEMS,JAN 2013,14,"A series of recent papers have introduced some explorative methods based on Ripley's K-function (Ripley in J R Stat Soc B 39(2):172-212, 1977) analyzing the micro-geographical patterns of firms. Often the spatial heterogeneity of an area is handled by referring to a case-control design, in which spatial clusters occur as over-concentrations of firms belonging to a specific industry as opposed to the distribution of firms in the whole economy. Therefore, positive, or negative, spatial dependence between firms occurs when a specific sector of industry is seen to present a more aggregated pattern (or more dispersed) than is common in the economy as a whole. This approach has led to the development of relative measures of spatial concentration which, as a consequence, are not straightforwardly comparable across different economies. In this article, we explore a parametric approach based on the inhomogeneous K-function (Baddeley et al. in Statistica Nederlandica 54(3):329-350, 2000) that makes it possible to obtain an absolute measure of the industrial agglomeration that is also able to capture spatial heterogeneity. We provide an empirical application of the approach taken with regard to the spatial distribution of high-tech industries in Milan (Italy) in 2001.",Industrial clustering,K-function,Spatial concentration,Spatial dependence,Spatial heterogeneity,"Giuliani, Diego",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_243,"Zhang, Yixiao","He, Tao",A framework for estimating actual evapotranspiration through spatial heterogeneity-based machine learning approaches,AGRICULTURAL WATER MANAGEMENT,NOV 1 2023,6,"Actual evapotranspiration (ET) is a key variable controlling the exchange of energy and water in terrestrial ecosystems. The spatial heterogeneity of ET patterns poses a great challenge for regional ET estimation over heterogeneous landscapes. In this study, we proposed a framework for estimating ET through interactive detector for spatial associations (IDSA)-based machine learning (ML) approaches by combining data from remote sensing and four flux towers distributed in the Hai River Basin. The IDSA model was applied to explore individual and interactive determinants of ET over the Hai River Basin. In addition, the geographical regions of ET were determined according to the spatial heterogeneity. Then we simulated ET in each geographical region separately using three ML models, including random forest, gradient boosting decision tree, and Cubist. General ML models without considering spatial heterogeneity were used for comparison, and evaluations were conducted with the eddy covariance flux tower observations at the site scale, also with water balance ET at the basin scale. The results demonstrated that the spatial patterns of ET were difficult to be explained by individual environmental variables (64.9 %). The maximum interpretability was improved by about 11.2 % through the interaction of air temperature (T) and normalized different vegetation index (NDVI). The framework developed in this study had excellent performance with coefficient of determination (R2) ranging from 0.807 to 0.811, root mean square error (RMSE) ranging from 0.654 mm/day to 0.661 mm/day, and mean absolute error (MAE) ranging from 0.470 mm/day to 0.485 mm/day. It was superior to general ML models at the site and basin scales. Additionally, the ET simulated by IDSA-based ML models were in good agreement with the reference product, further illustrating its reliability. The proposed framework provides a theoretical basis for in-depth understanding of spatial heterogeneity of ET and a new perspective for ET prediction over large scales.",Spatial stratified heterogeneity model,Interactive detector for spatial associations,The Hai River Basin,Spatial fuzzy overlay,Interaction effect,"Liang, Shunlin","Zhao, Zhongguo",,,,,,,,,,,,,,,,,,,,,,,,,
Row_244,"Gutierrez-Posada, Diana","Rubiera-Morollon, Fernando",Heterogeneity in the Determinants of Population Growth at the Local Level: Analysis of the Spanish Case with a GWR Approach,INTERNATIONAL REGIONAL SCIENCE REVIEW,MAY 2017,25,"Formal modeling of local population growth has usually tended to focus on identifying patterns that are presumed to hold universally. However, as Glaeser, Ponzetto, and Tobio highlighted, these laws are reliable for long-term dynamics; but in some moments or for some places, the balance between the different factors may change, giving rise to different specific behaviors. In this article, we study local population growth in Spain with no intention of searching for universal patterns. Rather, we are interested in identifying how relevant the temporal and spatial heterogeneity may be, that is, to assess the even and uneven effects that population growth determinants can exert across time and space. The geographically weighted regression (GWR) approach applied in this article for two different decades, 1991-2001 and 2001-2011, captures the spatial heterogeneity. Results on the spatially differentiated population growth factors are compared with the global ordinary least squares (OLS) estimators for both decades. Essential factors in urban and regional economics such as size (initial population) or distance (either to the big cities or to the coast) can have different effects on population growth across both space and time, corresponding to the global estimated effects for some areas but diverging from these in others. Using GWR estimation procedures, we can identify changes in the sign or in the intensity of a factor's effect across space, such that some factors could enhance population growth in one place but reduce it in another. Only after all spatially differentiated local effects have been analyzed and taken into consideration can appropriate national or regional policies be designed a la carte to promote, retain, or deter population growth.",population growth factors,local analysis,spatial heterogeneity,geographical weighted regressions,Spain,"Vinuela, Ana",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_245,Qiu Bingwen,Zeng Canying,Characterizing landscape spatial heterogeneity in multisensor images with variogram models,CHINESE GEOGRAPHICAL SCIENCE,JUN 2014,7,"Most evaluation of the consistency of multisensor images have focused on Normalized Difference Vegetation Index (NDVI) products for natural landscapes, often neglecting less vegetated urban landscapes. This gap has been filled through quantifying and evaluating spatial heterogeneity of urban and natural landscapes from QuickBird, Satellite pour l'observation de la Terre (SPOT), Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER) and Landsat Thematic Mapper (TM) images with variogram analysis. Instead of a logarithmic relationship with pixel size observed in the corresponding aggregated images, the spatial variability decayed and the spatial structures decomposed more slowly and complexly with spatial resolution for real multisensor images. As the spatial resolution increased, the proportion of spatial variability of the smaller spatial structure decreased quickly and only a larger spatial structure was observed at very coarse scales. Compared with visible band, greater spatial variability was observed in near infrared band for both densely and less densely vegetated landscapes. The influence of image size on spatial heterogeneity was highly dependent on whether the empirical semivariogram reached its sill within the original image size. When the empirical semivariogram did not reach its sill at the original observation scale, spatial variability and mean characteristic length scale would increase with image size; otherwise they might decrease. This study could provide new insights into the knowledge of spatial heterogeneity in real multisensor images with consideration of their nominal spatial resolution, image size and spectral bands.",variogram modeling,spatial heterogeneity,characteristic scale,multisensor image,,Cheng Chongcheng,Tang Zhenghong,Gao Jianyang,Sui Yinpo,,,,,,,,,,,,,,,,,,,,,,,
Row_246,"Tolsma, J.","van der Meer, T. W. G.","Losing Wallets, Retaining Trust? The Relationship Between Ethnic Heterogeneity and Trusting Coethnic and Non-coethnic Neighbours and Non-neighbours to Return a Lost Wallet",SOCIAL INDICATORS RESEARCH,MAR 2017,33,"The constrict claim that ethnic heterogeneity drives down social trust has been empirically tested across the globe. Meta-analyses suggest that neighbourhood ethnic heterogeneity generally undermines ties within the neighbourhood (such as trust in neighbours), but concurrently has an inconsistent or even positive effect on interethnic ties (such as outgroup trust). While the composition of the living environment thus often seems to matter, when and where remain unclear. We contribute to the literature by: (1) scrutinizing the extent to which ethnic heterogeneity drives down trust in coethnic neighbours, non-coethnic neighbours, unknown neighbours and unknown non-neighbours similarly; (2) comparing effects of heterogeneity aggregated to geographical areas that vary in scale and type of boundary; and (3) assessing whether the impact of heterogeneity of the local area depends on the wider geographic context. We test our hypotheses on the Religion in Dutch Society 2011-2012 dataset, supplemented with uniquely detailed GIS-data of Statistics Netherlands. Our dependent variables are four different so-called wallet-items, which we model through spatial and multilevel regression techniques. We demonstrate that both trust in non-coethnic and coethnic neighbours are lower in heterogeneous environments. Trust in people outside the neighbourhood is not affected by local heterogeneity. Measures of heterogeneity aggregated to relatively large scales, such as, administrative municipalities and egohoods with a 4000 m radius, demonstrate the strongest negative relationships with our trust indicators.",Trust,Ethnic heterogeneity,Neighbourhood,Egohood,Wallet items,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_247,"Yu, Peiheng","Zhang, Yan",Spatial Heterogeneity Impacts of Urbanisation on Open Space Fragmentation in Hong Kong's Built-Up Area,LAND,APR 2024,0,"Rapid urbanisation has generated numerous environmental consequences, particularly regarding open space fragmentation. Open space fragmentation is the transformation of open space from a state of homogeneity, integration, and continuity to a state of heterogeneity, division, and incoherence. Nevertheless, one main obstacle to understanding this issue is how to address the spatial heterogeneity of the impact of urbanisation on open space fragmentation. Thus, this paper provides a comprehensive framework for the mechanistic associations between open space fragmentation and urbanisation in Hong Kong's built-up area. The results illustrate that both open space fragmentation index and urbanisation index values are noticeably higher in dense urban areas. Land urbanisation, represented by the percentage of construction land in total land, has the highest explanatory power for spatial differentiation in open space fragmentation, followed by social and population urbanisation factors. Furthermore, the relational interrelations of open space fragmentation drivers are the bivariate and nonlinear enhancement interactions. Social urbanisation and land urbanisation have the strongest bivariate enhancement interaction for the use fragmentation form and the largest nonlinear enhancement interaction for the internal fragmentation form. Based on initial urban planning, open space fragmentation is an adaptation outcome of population, land, and social urbanisation factors, and this self-organisation phenomenon has been further emphasised in the historical process. These insights significantly enrich our understanding of how urbanisation affects open space fragmentation and provide valuable guidance for better open space strategies.",open space fragmentation,urbanisation,spatial heterogeneity,geographical detector,open space planning,"Han, Mingqing","Yung, Esther H. K.","Chan, Edwin H. W.","Chen, Yiyun",,,high-density cities,,,,,,,,,,,,,,,,,,,,
Row_248,"Shu, Hua","Pei, Tao",L-function of geographical flows,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,APR 3 2021,42,"Geographical flow (hereafter flow) can be modeled as an orderly connected point pair composed of an origin (O) and a destination (D). Aggregation is the most common form of spatial heterogeneity of flows, which we define as their deviation from complete spatial randomness (CSR), and the aggregation scale is an important indicator for its perception. Nevertheless, quantifying the aggregation scale of flows is still an unsolved problem. In this paper, we propose the L-function for flows as a solution, derive theoretical null models of the K-function and L-function in a flow space. We conduct simulation experiments to validate the L-function and its capability to detect aggregation scales. Finally, we apply the solution in a case study with taxi data in Beijing and identify nine aggregation scales of taxi OD flows, ranging from 170 m to 22.1 km. These scales correspond to three classes: less than 300 m, from 600 m to 700 m and more than 1500 m. The classes are related to the sizes of the urban facilities where the dominant flow clusters occur, indicating that the L-function in flow space can detect the aggregation scale of flows at the building scale, the block scale and the district scale.",Flow space,aggregation scale,Ripley's L-function,origin-destination flow,spatial statistics,"Song, Ci","Chen, Xiao","Guo, Sihui","Liu, Yaxi","Chen, Jie","Wang, Xi",,"Zhou, Chenghu",,,,,,,,,,,,,,,,,,,
Row_249,"Moguilner, Sebastian","Herzog, Ruben","Biophysical models applied to dementia patients reveal links between geographical origin, gender, disease duration, and loss of neural inhibition",ALZHEIMERS RESEARCH & THERAPY,APR 11 2024,3,"Background The hypothesis of decreased neural inhibition in dementia has been sparsely studied in functional magnetic resonance imaging (fMRI) data across patients with different dementia subtypes, and the role of social and demographic heterogeneities on this hypothesis remains to be addressed.Methods We inferred regional inhibition by fitting a biophysical whole-brain model (dynamic mean field model with realistic inter-areal connectivity) to fMRI data from 414 participants, including patients with Alzheimer's disease, behavioral variant frontotemporal dementia, and controls. We then investigated the effect of disease condition, and demographic and clinical variables on the local inhibitory feedback, a variable related to the maintenance of balanced neural excitation/inhibition.Results Decreased local inhibitory feedback was inferred from the biophysical modeling results in dementia patients, specific to brain areas presenting neurodegeneration. This loss of local inhibition correlated positively with years with disease, and showed differences regarding the gender and geographical origin of the patients. The model correctly reproduced known disease-related changes in functional connectivity.Conclusions Results suggest a critical link between abnormal neural and circuit-level excitability levels, the loss of grey matter observed in dementia, and the reorganization of functional connectivity, while highlighting the sensitivity of the underlying biophysical mechanism to demographic and clinical heterogeneities in the patient population.",Dementia,Neurodegeneration,Biophysical modeling,Hyperexcitability,Variability,"Perl, Yonatan Sanz","Medel, Vicente","Cruzat, Josefina","Coronel, Carlos","Kringelbach, Morten","Deco, Gustavo",Gender,"Ibanez, Agustin","Tagliazucchi, Enzo",Heterogeneity,,,,,,,,,,,,,,,,,
Row_250,"Burgueno, Jesus","Guerrero Llados, Montse",THE MUNICIPAL MAP OF SPAIN: A GEOGRAPHICAL DESCRIPTION,BOLETIN DE LA ASOCIACION DE GEOGRAFOS ESPANOLES,2014,15,"The municipal map of Spain is a cultural element that is perfect for geographical analysis. The Spanish municipal map is characterized by the high degree of fragmentation (8,117 municipalities) and heterogeneity of both its territory and population. The autonomous communities have not used the powers vested in them to either reform the municipal map or to redraw borders that are better adapted to the country's new geographical realities. Instead, they have had to deal with a number of requests for separation, which resulted in the creation of 106 new municipalities between 1982 and 2012.",municipality,problematical delimitations,enclave,shared territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_251,"Torres, M","Moreno, M",Designing spatial analyzer module in a distributed geographical environment,,2003,0,"To improve the spatial recovery by means of Geographical Information Systems (GIS), a Distributed GIS Application has been designed. This application is focused on making spatial analysis throughout Spatial Analyzer Module (SAM). SAM contains several spatial and mathematical models that have been designed and implemented for detecting landslides and flooding areas. Users can make an analysis to recover the spatial data from different sites using a specification based on Extensible Markup Language (XML). Spatial data are stored in a spatial database into the Enterprise GIS. All spatial processes are executed in the server application to improve the performance of the spatial analysis. The GIS-application has been implemented into ArcMap module of ArcInfo system.",GIS,XML,heterogeneity,distributed environment,spatial database,"Levachkine, S","Quintero, R",,,,,,,,,"IGARSS 2003: IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM, VOLS I - VII, PROCEEDINGS",,,,,,,,,,,,,,,,
Row_252,"Nikzat, Sedigheh","Ghasemzadeh-Baraki, Somayeh",The influence of environmental heterogeneity on the morphological and genetic diversity of Circaea lutetiana (Onagraceae) in Hyrcanian forests,ANALES DEL JARDIN BOTANICO DE MADRID,2021,1,"Environmental gradients are important factors that can potentially influence the genetic diversity and differentiation of populations. The present study examines the effect of environmental heterogeneity of the Hyrcanian forests on populations of Circaea lutetiana L. (Onagraceae). Using morphometrics, scanning electron microscopy (SEM) of leaf epidermis, and molecular markers, we analyzed genetic diversity and differentiation among nine populations from environmentally divergent habitats. Three different gene pools were observed. Our results indicate that the genetic structure is significantly correlated to environmental factors, but not to the geographical distance. Genetic clustering in C. lutetiana is affected by temperature, humidity, elevation, and average annual rainfall. Overall, our data indicate that gene flow does not contribute to explaining spatial patterns of genetic structure and the adaptation to the environment is the main factor shaping the genetic structure of the C. lutetiana populations. The populations belonging to each of the three gene pools have similarities in microclimate parameters, despite their geographical proximity, and populations from the same genetic pool can be up to 470 km apart. This evidence, as well as morphological and genetic similarities of the populations with greater geographical distance, suggest the possibility of cryptic speciation in this species.",Circaea lutetiana,environmental heterogeneity,gene flow,genetic diversity,Hyrcanian forests,"Naghiloo, Somayeh",,,,,,,,,,,,,,,,,,,,,,,,,,
